,DK_SS,DK_NAME,EVENT_GUBUN,EVENT_NAME,RENT_START_YMD,JS_PERSON,end_day
640,10,뮤즈라이브,문화예술행사,STS acoustic,20191109,357.0,Sat
641,3,KSPO DOME(체조경기장),문화예술행사,2019 CLIMIX FESTIVAL,20190725,2419.0,Thu
642,8,K-아트홀,대중공연,2019 심규선 장기 소극장 콘서트 ,20191031,2419.0,Thu
643,10,뮤즈라이브,문화예술행사,블랙홀  정기공연,20190720,357.0,Sat
644,5,핸드볼경기장,공공행사,퀸&amp;amp;비틀즈 내한공연,20190910,2419.0,Tue
645,25,만남의광장,문화예술행사,2019 방탄소년단 팬미팅(가제),20190619,2419.0,Wed
646,10,뮤즈라이브,문화예술행사,슈퍼주니어 예성 음원 쇼케이스,20190618,357.0,Tue
647,33,88호수수변무대,문화예술행사,제12회 서울재즈페스티벌(Seoul Jazz Festival) 2018,20180513,2419.0,Sun
648,21,88잔디마당,문화예술행사,제12회 서울재즈페스티벌(Seoul Jazz Festival) 2018,20180513,2419.0,Sun
649,33,88호수수변무대,문화예술행사,2018 파크 뮤직 페스티벌,20180612,2419.0,Tue
650,9,올림픽홀,대중공연,이준기 아시아투어 서울공연,20181123,2250.0,Fri
651,5,핸드볼경기장,문화예술행사,딩GO딩高딩 페스티벌 SHO,20180709,2419.0,Mon
652,5,핸드볼경기장,공공행사,2018년 어르신생활체육경연대회,20181030,2250.0,Tue
